Hour,Average (49),Average (48),Average (27),Average (51),Average (52),Average (31)
0,491.1718044,486.1386312,504.6680176,481.695471,499.571206,464.278396
1,483.8446923,478.7834954,492.0406859,472.927244,492.304683,457.184152
2,477.2833471,470.8152582,479.5896482,466.084399,484.185379,450.837054
3,471.4795539,464.9274194,469.6802949,460.150451,477.542013,445.035909
4,466.7674803,459.7407848,461.1026501,455.748802,470.883937,438.67226
5,463.2894195,461.8104082,456.5965795,452.918117,465.078655,434.123884
6,464.3669961,453.2906704,455.01553,454.978758,461.929452,433.724605
7,474.5333021,459.7074846,452.372435,466.220257,465.726785,445.252212
8,502.4504386,489.0293542,477.9347311,510.110183,513.521642,488.381111
9,553.8317972,557.5267624,564.3338995,577.56871,594.802281,544.536036
10,579.4238838,603.4446997,606.5035605,598.561661,606.015142,564.810718
11,577.06466,596.7340256,614.5747283,591.353062,595.775967,568.264192
12,561.8132428,578.8930818,595.9685066,587.28717,595.183605,561.128118
13,563.109375,580.1105911,571.4669393,575.221032,585.406801,553.714124
14,566.8464268,572.2732673,589.4905277,589.35224,603.973473,554.907692
15,564.6137898,572.1233317,600.2884551,582.285407,606.984554,554.893973
16,547.9320604,563.8846715,598.5361876,593.270063,607.31539,539.330317
17,523.4694755,542.6797913,576.4912043,580.016998,585.239151,513.390519
18,495.6465296,509.3792309,531.5038917,533.004803,526.007278,481.544262
19,493.1731245,500.8548138,515.4846626,510.493138,506.810434,469.639548
20,509.592229,507.7336471,535.8987385,518.106109,515.851189,480.389581
21,510.5635337,505.5124064,538.9394665,512.235238,516.285273,482.312711
22,506.9930866,499.9775732,530.263408,501.572516,512.982387,477.865654
23,499.1625255,493.5451589,517.6961552,489.724526,506.386681,472.220705
