Hour,Average (49),Average (48),Average (27),Average (51),Average (52),Average (31)
0,43.65844636,43.67159689,29.95103006,42.86829425,42.55811779,25.5757238
1,43.65551425,43.62319184,29.79455279,42.85064103,42.55175601,8.71875
2,43.65161558,43.6084507,29.83288227,42.84398977,42.54441703,4.58035714
3,43.64229657,43.6107685,29.80428954,42.8556701,42.54570637,7.695321
4,43.64087712,43.60618312,29.77222409,42.8449984,42.54719901,8.37807606
5,43.65582544,43.86795918,29.88363514,42.8655706,42.55552128,25.1819196
6,43.83283197,43.7641819,30.33457124,42.94444444,42.59950709,17.654628
7,44.38930582,44.19564188,31.63235294,43.30514469,43.0795957,47.248894
8,45.98070175,45.66903131,33.61785594,44.79794411,44.78103119,62.192222
9,46.30322581,47.17950392,37.19055707,45.64193548,45.85551331,76.950451
10,46.1183432,48.59402691,37.14682943,45.53961661,45.73943218,81.530217
11,46.17391304,48.09238552,37.1861413,45.24523879,45.4378453,70.121179
12,45.68251273,47.59608665,36.41212326,45.32760267,45.43475591,52.741497
13,45.85344828,47.89655172,36.19665985,45.0821162,45.31251932,55.109605
14,46.06284845,47.15742574,37.19857916,45.60006445,45.79025293,60.265934
15,45.73529412,47.18388532,37.36620666,45.64431879,45.93296262,57.529018
16,44.93738899,46.88223844,37.31600408,45.90809191,46.10354655,47.980769
17,44.37489252,46.40773245,36.48951286,45.77421424,45.57863958,32.065463
18,43.97386461,45.39028321,33.9857868,44.34163915,43.70296496,26.108197
19,44.45589448,45.87662481,32.06646217,43.45994255,43.13861086,24.614689
20,44.03558282,45.54141176,31.39379475,43.31575563,42.98950293,22.964892
21,43.89350545,45.41596442,31.23939808,43.47334823,42.93640012,14.6018
22,43.80154534,44.02974504,30.35709437,42.99480789,42.5496046,12.8446262
23,43.69490835,43.76582437,30.01361007,42.8791286,42.48896247,12.8998862
